4296,"Ryanair",2186
5209,"United Airlines",2126
2009,"Delta Air Lines",2031
1881,"Continental Airlines",1491
5265,"US Airways",1377
24,"American Airlines",1244
751,"Air China",1022
3320,"Lufthansa",1021
1758,"China Eastern Airlines",1006
1767,"China Southern Airlines",994
4547,"Southwest Airlines",954
2297,"easyJet",804
596,"Alitalia",767
214,"Air Berlin",734
137,"Air France",730
330,"Air Canada",684
2822,"Iberia Airlines",610
4867,"TAM Brazilian Airlines",579
1355,"British Airways",471
4319,"Scandinavian Airlines System",446
324,"All Nippon Airways",446
4951,"Turkish Airlines",445
439,"Alaska Airlines",429
4533,"Saudi Arabian Airlines",408
218,"Air India Limited",404
2660,"Hainan Airlines",404
5461,"Wizz Air",382
3000,"Jet Airways",370
5416,"WestJet",366
4089,"Qantas",351
3737,"Norwegian Air Shuttle",350
1316,"AirTran Airways",348
1790,"City Connexion Airlines",347
5013,"Thomsonfly",345
3090,"KLM Royal Dutch Airlines",339
4559,"Swiss International Air Lines",319
130,"Aeroflot Russian Airlines",314
5484,"Xiamen Airlines",310
2987,"Japan Airlines",310
3378,"Malaysia Airlines",308
3029,"JetBlue Airways",300
35,"Allegiant Air",298
4611,"Shenzhen Airlines",290
4608,"Sichuan Airlines",284
3871,"Pakistan International Airlines",284
2421,"Flybe",283
321,"AeroMéxico",277
2747,"Hellas Jet",277
1437,"bmi",271
4248,"Royal Air Maroc",261
4652,"Spanair",259
1868,"Condor Flugdienst",257
3163,"Korean Air",248
491,"Austrian Airlines",243
3142,"Kingfisher Airlines",237
4609,"Shanghai Airlines",236
28,"Asiana Airlines",234
2548,"Germanwings",228
2468,"Frontier Airlines",223
3200,"LAN Airlines",222
4599,"Shandong Airlines",220
4869,"TAP Portugal",220
2183,"Emirates Airline",219
4940,"Thai Airways International",217
3854,"Pacific Blue",214
8745,"Transavia France",213
837,"Aer Lingus",208
2220,"Ethiopian Airlines",207
90,"Air Europa",203
4329,"S7 Airlines",200
3290,"Lion Mentari Airlines",200
345,"Air New Zealand",198
4435,"Singapore Airlines",193
5188,"TRIP Linhas A",192
690,"Air Foyle",192
4091,"Qatar Airways",192
2681,"TUIfly",189
1531,"Brussels Airlines",187
4897,"Thomas Cook Airlines",183
794,"Air Algerie",183
2439,"Formosa Airlines",183
4305,"South African Airways",182
5439,"Widerøe",177
1680,"Cathay Pacific",175
3926,"Pegasus Airlines",174
641,"Pulkovo Aviation Enterprise",174
5309,"Vietnam Airlines",174
2143,"Egyptair",172
2922,"Iran Air",171
3052,"Jetstar Airways",164
576,"AirAsia",162
3210,"LOT Polish Airlines",160
114,"Aerosvit Airlines",156
1889,"Copa Airlines",156
515,"Avianca - Aerovias Nacionales de Colombia",156
3952,"Philippine Airlines",154
3026,"Jet2.com",152
5039,"Transavia Holland",151
2222,"Etihad Airways",147
5281,"Uzbekistan Airways",146
2923,"Iran Aseman Airlines",145
1683,"Cebu Pacific",144
4870,"Tunisair",140
2350,"Finnair",139
2520,"Garuda Indonesia",138
2850,"IndiGo Airlines",138
5067,"Transaero Airlines",137
3126,"Kenya Airways",135
