"country","city","latitude","longitude"
"Albania","Tirana",41.414742,19.720561
"Algeria","Adrar",27.837589,-0.186414
"Algeria","Ain Oussera",35.525414,2.878714
"Algeria","Algier",36.691014,3.215408
"Algeria","Annaba",36.822225,7.809167
"Algeria","Bejaja",36.711997,5.069922
"Algeria","Biskra",34.793289,5.738231
"Algeria","Blida",36.503613,2.814167
"Algeria","Bou Saada",35.3325,4.206389
"Algeria","Bou Sfer",35.735389,-0.805389
"Algeria","Boufarik",36.545834,2.876111
"Algeria","Constantine",36.276028,6.620386
"Algeria","Djanet",24.292767,9.452444
"Algeria","Ech-cheliff",36.212658,1.331775
"Algeria","El Golea",30.571294,2.859586
"Algeria","Ghardaia",32.384106,3.794114
"Algeria","Ghriss",35.207725,0.147142
"Algeria","Hassi-messaoud",31.672972,6.140444
"Algeria","Illizi",26.723536,8.622653
"Algeria","In Salah",27.251022,2.512017
"Algeria","Jijel",36.795136,5.873608
"Algeria","Laghouat",33.764383,2.928344
"Algeria","Mecheria",33.535853,-0.242353
"Algeria","Oran",35.583151,-0.5767305
"Algeria","Ouargla",31.917223,5.412778
"Algeria","Reggan",26.710103,0.285647
"Algeria","Relizane",35.752239,0.626272
"Algeria","Sidi Bel Abbes",35.171775,-0.593275
"Algeria","Tamanrasset",22.811461,5.451075
"Algeria","Tebessa",35.431611,8.120717
"Algeria","Tiaret",35.341136,1.463147
"Algeria","Tilrempt",32.930431,3.311542
"Algeria","Timimoun",29.237119,0.276033
"Algeria","Tindouf",27.700372,-8.167103
"Algeria","Tlemcen",35.016667,-1.45
"Algeria","Touggourt",33.067803,6.088672
"Algeria","Zarzaitine",28.05155,9.642911
"Angola","Benguela",-12.609025,13.403711
"Angola","Cabinda",-5.596992,12.188353
"Angola","Huambo",-12.808878,15.760547
"Angola","Kuito",-12.404633,16.947414
"Angola","Lobito",-12.371233,13.536625
"Angola","Luanda",-8.858375,13.231178
"Angola","Lubango",-14.924733,13.575022
"Angola","Luena",-11.768086,19.897672
"Angola","M'banza-congo",-6.269897,14.247025
"Angola","Malanje",-9.525086,16.312406
"Angola","Menongue",-14.657583,17.719833
"Angola","Negage",-7.754506,15.287728
"Angola","Porto Amboim",-10.721956,13.765528
"Angola","Saurimo",-9.689067,20.431875
"Angola","Soyo",-6.141086,12.371764
"Angola","Uige",-7.603067,15.027822
"Angola","Xangongo",-16.755417,14.965344
"Austria","Graz",46.991067,15.439628
"Austria","Innsbruck",47.260219,11.343964
"Austria","Klagenfurt",46.642514,14.337739
"Austria","Linz",48.233219,14.187511
"Austria","Salzburg",47.793304,13.004333
"Austria","Vienna",48.110278,16.569722
"Austria","Wels",48.183304,14.040861
"Austria","Wiener Neustadt Ost",47.843333,16.260139
"Austria","Zeltweg",47.202751,14.744223
"Belgium","Antwerp",51.189444,4.460278
"Belgium","Beauvechain",50.75861,4.768333
"Belgium","Bertrix",49.891667,5.223889
"Belgium","Brussels",50.901389,4.484444
"Belgium","Charleroi",50.459197,4.453817
"Belgium","Chievres",50.575833,3.831
"Belgium","Florennes",50.243333,4.645833
"Belgium","Kleine Brogel",51.168333,5.47
"Belgium","Koksijde",51.090278,2.652778
"Belgium","Kortrijk-vevelgem",50.817222,3.204722
"Belgium","Liege",50.637417,5.443222
"Belgium","Ostend",51.198889,2.862222
"Belgium","Sint-truiden",50.791944,5.201667
"Belgium","St.-hubert",50.035833,5.404167
"Belgium","Ursel",51.144133,3.474361
"Belgium","Weelde",51.394783,4.960194
"Belgium","Zoersel",51.264722,4.753333
"Belgium","Zutendaal",50.9475,5.590556
"Benin","Cotonou",6.357228,2.384353
"Bosnia and Herzegovina","Mostar",43.2829,17.845878
"Bosnia and Herzegovina","Sarajevo",43.824583,18.331467
"Botswana","Francistown",-21.159597,27.474525
"Botswana","Gaberone",-24.555225,25.918208
"Botswana","Jwaneng",-24.602333,24.690971
"Botswana","Kasane",-17.832875,25.1624
"Botswana","Maun",-19.972564,23.431086
"Botswana","Selebi-phikwe",-22.05835,27.828767
"British Indian Ocean Territory","Diego Garcia Island",-7.313267,72.411089
"Bulgaria","Bourgas",42.569583,27.515236
"Bulgaria","Gorna Orechovica",43.151444,25.712889
"Bulgaria","Plovdiv",42.067806,24.850833
"Bulgaria","Sofia",42.695194,23.406167
"Bulgaria","Stara Zagora",42.376667,25.655195
"Bulgaria","Varna",43.232072,27.825106
"Burkina Faso","Bobo-dioulasso",11.160056,-4.330969
"Burkina Faso","Ouagadougou",12.353194,-1.512417
"Burundi","Bujumbura",-3.324019,29.318519
"Cameroon","Bafoussam",5.536919,10.354583
"Cameroon","Bamenda",6.039239,10.122639
"Cameroon","Douala",4.006081,9.719481
"Cameroon","Foumban",5.636919,10.750817
"Cameroon","Garoua",9.335892,13.370103
"Cameroon","Maroua",10.451392,14.257361
"Cameroon","N'gaoundere",7.357011,13.559242
"Cameroon","Tiko",4.089192,9.360528
"Cameroon","Yaounde",3.836039,11.523461
"Canada","Abbotsford",49.025278,-122.360556
"Canada","Alert",82.517778,-62.280556
"Canada","Armstrong",50.290279,-88.909721
"Canada","Atikokan",48.773888,-91.638611
"Canada","Bagotville",48.330555,-70.996391
"Canada","Baie Comeau",49.1325,-68.204444
"Canada","Baker Lake",64.298889,-96.077778
"Canada","Brandon",49.91,-99.951944
"Canada","Broughton Island",67.545833,-64.031389
"Canada","Buffalo Narrows",55.841944,-108.4175
"Canada","Burwash",61.371111,-139.040556
"Canada","Calgary",51.113888,-114.020278
