"airline","source_city","source_country","destination_city","destination_country","stops"
"Air Burkina","Abidjan","Cote d'Ivoire","Accra","Ghana",0
"Air Burkina","Abidjan","Cote d'Ivoire","Bobo-dioulasso","Burkina Faso",0
"Air Burkina","Abidjan","Cote d'Ivoire","Ouagadougou","Burkina Faso",0
"Air Burkina","Accra","Ghana","Abidjan","Cote d'Ivoire",0
"Air Burkina","Accra","Ghana","Ouagadougou","Burkina Faso",0
"Air Burkina","Bamako","Mali","Dakar","Senegal",0
"Air Burkina","Bamako","Mali","Paris","France",0
"Air Burkina","Bamako","Mali","Ouagadougou","Burkina Faso",0
"Air Burkina","Bobo-dioulasso","Burkina Faso","Abidjan","Cote d'Ivoire",0
"Air Burkina","Bobo-dioulasso","Burkina Faso","Ouagadougou","Burkina Faso",0
"Air Burkina","Cotonou","Benin","Douala","Cameroon",0
"Air Burkina","Cotonou","Benin","Libreville","Gabon",0
"Air Burkina","Cotonou","Benin","Ouagadougou","Burkina Faso",0
"Air Burkina","Dakar","Senegal","Bamako","Mali",0
"Air Burkina","Dakar","Senegal","Ouagadougou","Burkina Faso",0
"Air Burkina","Douala","Cameroon","Cotonou","Benin",0
"Air Burkina","Libreville","Gabon","Cotonou","Benin",0
"Air Burkina","Lome","Togo","Ouagadougou","Burkina Faso",0
"Air Burkina","Niamey","Niger","Ouagadougou","Burkina Faso",0
"Air Burkina","Paris","France","Ouagadougou","Burkina Faso",0
"Air Burkina","Ouagadougou","Burkina Faso","Abidjan","Cote d'Ivoire",0
"Air Burkina","Ouagadougou","Burkina Faso","Accra","Ghana",0
"Air Burkina","Ouagadougou","Burkina Faso","Bamako","Mali",0
"Air Burkina","Ouagadougou","Burkina Faso","Bobo-dioulasso","Burkina Faso",0
"Air Burkina","Ouagadougou","Burkina Faso","Cotonou","Benin",0
"Air Burkina","Ouagadougou","Burkina Faso","Dakar","Senegal",0
"Air Burkina","Ouagadougou","Burkina Faso","Lome","Togo",0
"Air Burkina","Ouagadougou","Burkina Faso","Niamey","Niger",0
"Helvetic Airways","Brindisi","Italy","Bern","Switzerland",0
"Helvetic Airways","Brindisi","Italy","Zurich","Switzerland",0
"Helvetic Airways","Bari","Italy","Zurich","Switzerland",0
"Helvetic Airways","Bern","Switzerland","Brindisi","Italy",0
"Helvetic Airways","Cardiff","United Kingdom","Zurich","Switzerland",0
"Helvetic Airways","Laage","Germany","Zurich","Switzerland",0
"Helvetic Airways","Zurich","Switzerland","Brindisi","Italy",0
"Helvetic Airways","Zurich","Switzerland","Bari","Italy",0
"Helvetic Airways","Zurich","Switzerland","Cardiff","United Kingdom",0
"Helvetic Airways","Zurich","Switzerland","Laage","Germany",0
"Moldavian Airlines","Budapest","Hungary","Kichinau Fir/acc/com","Moldova",0
"Moldavian Airlines","Kichinau Fir/acc/com","Moldova","Budapest","Hungary",0
"Yuzhmashavia","Arvidsjaur","Sweden","Lycksele","Sweden",0
"Yuzhmashavia","Stockholm","Sweden","Kramfors","Sweden",0
